"Keyword","Intent","Position","SF","Traffic","Traffic %","Volume","KD %","URL","Updated"
"","daraz seller","N","1","4","7.9K","0.09","9.9K","41","www.daraz.pk/sell-on-daraz/","Aug 13"
"","daraz affiliate program","T","1","5","7.9K","0.09","9.9K","36","www.daraz.pk/affiliate-program/","Aug 13"
"","daraz online shopping","N","1","5","7.9K","0.09","9.9K","43","www.daraz.pk/","16 hours"
"","daraz 11 11 sale","I N","1","4","4.3K","0.05","5.4K","33","www.daraz.pk/","3 days"
"","online market","I","1","5","3.8K","0.04","8.1K","39","www.daraz.pk/","3 days"
"","helmet price in pakistan","T","1","6","3.8K","0.04","8.1K","43","www.daraz.pk/motorcycle-helmets/","2 days"
"","daraz 11 11 sale 2024","N T","1","4","3.5K","0.04","4.4K","34","www.daraz.pk/","Jul 12"
"","seller center daraz","N T","1","5","3.5K","0.04","4.4K","37","www.daraz.pk/sell-on-daraz/","Aug 06"
"","daraz login","N T","1","3","3.5K","0.04","4.4K","38","member.daraz.pk/user/login","Jul 08"
"","derma roller","I","1","8","3.1K","0.03","6.6K","45","www.daraz.pk/tag/derma-roller-price/","Aug 11"
"","swing","I","1","8","2.5K","0.02","5.4K","40","www.daraz.pk/tag/swings-for-adult/","3 days"
"","low price mobile in pakistan","C","1","4","2.5K","0.02","5.4K","37","www.daraz.pk/smartphones/","Aug 11"
"","projector","C I","1","6","2.5K","0.02","5.4K","30","www.daraz.pk/computing-projectors/","3 days"
"","daraz com pk","N","1","5","2.3K","0.02","2.9K","48","www.daraz.pk/","Jul 20"
"","daraz helpline","I N","1","3","2.3K","0.02","2.9K","36","www.daraz.pk/daraz-support-center/","Jul 20"
"","drazz","N","1","4","2.3K","0.02","2.9K","49","www.daraz.pk/","Jul 27"
"","daraz office near me","N T","","4","2.3K","0.02","2.9K","30","daraz.pk/","Jul 09"
"","daraz affiliate program pakistan","N T","1","5","2.3K","0.02","2.9K","31","www.daraz.pk/tag/join-daraz-affiliate-program/","Jul 14"
"","daraz. pk","N","1","3","2.3K","0.02","2.9K","41","www.daraz.pk/","Jul 27"
"","tecno camon","I T","","6","2.2K","0.02","8.1K","34","www.daraz.pk/products/tecno-camon-40-pro-8gb-ram-256gb-rom-144hz-display-i890833419.html","4 days"
"","gaming pc price in pakistan","C","1","5","2.1K","0.02","4.4K","33","www.daraz.pk/tag/gaming-setup-pc-price/","Jul 31"
"","chess board","C I","1","5","2.1K","0.02","4.4K","42","www.daraz.pk/tag/chess-board-price/","Jul 05"
"","suitcase","C I","1","6","2.1K","0.02","4.4K","48","www.daraz.pk/tag/suitcase/","Jul 09"
"","basil seeds","I","","8","2.1K","0.02","4.4K","45","www.daraz.pk/tag/basil-seeds/","Jul 21"
"","honda rebirth","I","","6","2K","0.02","9.9K","33","www.daraz.pk/products/honda-civic-rebirth-android-panel-1gb-ram-16gb-rom-model-2012-2015-i334172488.html","Aug 13"
"","vivo 6 128 price in pakistan","T","","4","1.9K","0.02","9.9K","32","www.daraz.pk/tag/6-128-vivo-mobiles/","3 days"
"","daraz near me","N T","","4","1.9K","0.02","2.4K","33","daraz.pk/","Jul 18"
"","daraz hub near me","N T","","4","1.9K","0.02","2.4K","30","daraz.pk/","Jul 10"
"","daraz pk sale","N T","1","3","1.9K","0.02","2.4K","33","www.daraz.pk/","Jul 31"
"","daraz pakistan","N T","1","5","1.9K","0.02","2.4K","49","www.daraz.pk/","Jul 21"
"","daraz mall","N T","1","6","1.9K","0.02","2.4K","43","www.daraz.pk/daraz-mall/","Jul 19"
