# ASM VEO Editable Product Control Sheet — TAB-separated; opens in Excel/Google Sheets
# CSV SHA256: c279277a0619b4270c94324b669b233cd4e5e4cec40d10215062e7a82c4b77b0
# Edit Product Name, Description, Main Price, Discount Price and Stock. Do not edit Product ID/Slug.
Product Name	Description	Main Price	Discount Price	Stock	Product ID	Slug
Temporary Tattoo for Women – Rhinestone Gems Face & Body Sticker | Self-Adhesive Crystal Makeup Decoration for Parties & Festivals (Random Design)		248	248	In Stock	hhc-3756430	temporary-tattoo-for-women-rhinestone-gems-face-body-sticker-self-adhes-853b3df4-hhc-3756430
Terumo Surflo I.V. Catheter | Sterile Single-Use Intravenous Cannula / Piercing Needle		210	210	In Stock	hhc-3755868	terumo-surflo-i-v-catheter-sterile-single-use-intravenous-cannula-pierc-918585bc-hhc-3755868
The Globe Multi Size Sewing Needles Set 12 Pieces Hand Stitching Needles for Home Use		207	207	In Stock	hhc-3760884	the-globe-multi-size-sewing-needles-set-12-pieces-hand-stitching-needle-234539f5-hhc-3760884
The Health Healer Extreme Strong Whitening And Aging Night Cream		319	319	In Stock	hhc-3757650	the-health-healer-extreme-strong-whitening-and-aging-night-cream-hhc-3757650
The Health Healer Height Grow Powder - 100% Natural Height Increase Supplement- 50G		255	255	In Stock	hhc-3641090	the-health-healer-height-grow-powder-100-natural-height-increase-supplement-50g-hhc-3641090
The Health Healer Height Grow Powder - Herbal Product Designed For Nutrition And Dietary Wellness Routine - 100g		319	319	In Stock	hhc-3762714	the-health-healer-height-grow-powder-herbal-product-designed-for-nutrit-096554bd-hhc-3762714
The Health Healer Height Grow Powder Natural Height Increase Supplement For Daily Growth And Wellness - 70g		249	249	In Stock	hhc-3755742	the-health-healer-height-grow-powder-natural-height-increase-supplement-8f2533d3-hhc-3755742
The Health Healer Height Grow Powder – 100% Natural Height Increase Supplement (100 Grams)		207	207	In Stock	hhc-3753484	the-health-healer-height-grow-powder-100-natural-height-increase-supple-90dff7dc-hhc-3753484
The Health Healer Height Grow Powder – 100% Natural Height Increase Supplement (100 Grams)		249	249	In Stock	hhc-3668846	the-health-healer-height-grow-powder-100-natural-height-increase-supple-90dff7dc-hhc-3668846
The Health Healer Height Grow Powder – 100% Natural Height Increase Supplement (60 Grams)		236	236	In Stock	hhc-3753512	the-health-healer-height-grow-powder-100-natural-height-increase-supple-ff1b2b22-hhc-3753512
The Health Healer Height Grow Powder – 100% Natural Height Increase Supplement (70 Grams)		278	278	In Stock	hhc-3649307	the-health-healer-height-grow-powder-100-natural-height-increase-supple-e9a44616-hhc-3649307
The Health Healer Height Grow Powder – 100% Natural Height Increase Supplement 60g		214	214	In Stock	hhc-3753291	the-health-healer-height-grow-powder-100-natural-height-increase-supplement-60g-hhc-3753291
The Health Healer Height Grow Powder – 100% Natural Height Increase Supplement for Daily Growth & Wellness – 70g		222	222	In Stock	hhc-3756594	the-health-healer-height-grow-powder-100-natural-height-increase-supple-071cca4e-hhc-3756594
The Health Healer Height Growth Powder | Nutritional Supplement | Wellness & Fitness Support 70g		291	291	In Stock	hhc-3763441	the-health-healer-height-growth-powder-nutritional-supplement-wellness-5e7ca875-hhc-3763441
The Health Healer Height Growth Powder | Nutritional Supplement | Wellness & Fitness Support 70g		263	263	In Stock	hhc-3757846	the-health-healer-height-growth-powder-nutritional-supplement-wellness-5e7ca875-hhc-3757846
The Health Healer Height Growth Powder | Nutritional Supplement | Wellness & Fitness Support 70g		235	235	In Stock	hhc-3756877	the-health-healer-height-growth-powder-nutritional-supplement-wellness-5e7ca875-hhc-3756877
The Health Healer Night Cream - 50g		289	289	In Stock	hhc-1809189	the-health-healer-night-cream-50g-hhc-1809189
The Health Healer Night Cream 50 Gram | Best Quality Cream | Night Cream		995	995	In Stock	hhc-3084752	the-health-healer-night-cream-50-gram-best-quality-cream-night-cream-hhc-3084752
The Health Healer Night Cream 50 Gram | Best Quality Cream | Night Cream		249	249	In Stock	hhc-2658330	the-health-healer-night-cream-50-gram-best-quality-cream-night-cream-hhc-2658330
The Health Healer Night Cream 50ml		959	959	In Stock	hhc-2555925	the-health-healer-night-cream-50ml-hhc-2555925
The Health Healer Night Cream – Best Quality Night Cream Seal Packed | Health Healer Night Cream | Cream | Cream For Skin - Night Cream | Brightening Cream | Cream For Remove Acne - 60 gram		306	306	In Stock	hhc-3193995	the-health-healer-night-cream-best-quality-night-cream-seal-packed-heal-3c6329a0-hhc-3193995
The Health Healer Night Lotion BRIGHT WHITE CLEAR SKIN		528	528	In Stock	hhc-2361746	the-health-healer-night-lotion-bright-white-clear-skin-hhc-2361746
The Health Healer Night Lotion BRIGHT WHITE CLEAR SKIN (240ml)		362	362	In Stock	hhc-2487928	the-health-healer-night-lotion-bright-white-clear-skin-240ml-hhc-2487928
The Iron Never Lies Design Tank top for Men Workout Tank top gym shirts for men | Sleeve-Less Shirt		526	526	In Stock	hhc-3246000	the-iron-never-lies-design-tank-top-for-men-workout-tank-top-gym-shirts-13c3b5a6-hhc-3246000
The Key &amp; My Heart Style White T-Shirt - Key &amp; Heart Design T-Shirts  – Best Quality T-Shirts For Girls | T-Shirt For Women - T-Shirt For Men		669	669	In Stock	hhc-2959790	the-key-amp-my-heart-style-white-t-shirt-key-amp-heart-design-t-shirts-e8f8ea34-hhc-2959790
The Kingston DataTraveler USB 3.0 High-Speed Data Transfer Portable Design Flash Drive		924	924	In Stock	hhc-2549131	the-kingston-datatraveler-usb-3-0-high-speed-data-transfer-portable-des-d300900e-hhc-2549131
THE MAGIC GREEN STICK MASK ,green tea oil control cleansing mask / Blackhead Mud Mask | Deep Cleansing Mask | To Tight Pores | For Acne		515	515	In Stock	hhc-2240980	the-magic-green-stick-mask-green-tea-oil-control-cleansing-mask-blackhe-8e4c27f7-hhc-2240980
The Magic Green Stick Mask – Green Tea Oil Control Cleansing & Blackhead Mud Mask		515	515	In Stock	hhc-3760863	the-magic-green-stick-mask-green-tea-oil-control-cleansing-blackhead-mud-mask-hhc-3760863
The Magic Tap - Automatic Drink Dispenser		670	670	In Stock	hhc-1091975	the-magic-tap-automatic-drink-dispenser-hhc-1091975
The Miracle All Purpose Cleaning Paste (The Pink Stuff) -		565	565	In Stock	hhc-528075	the-miracle-all-purpose-cleaning-paste-the-pink-stuff-hhc-528075
The Mono Carry Crossbody Bag Stylish Leatherette Design With Adjustable Strap		2516	2516	In Stock	hhc-3759894	the-mono-carry-crossbody-bag-stylish-leatherette-design-with-adjustable-strap-hhc-3759894
The Most Tricked-out FLYING SPINNER		1162	1162	In Stock	hhc-1318646	the-most-tricked-out-flying-spinner-hhc-1318646
The Natural Power Of chitrali pure salajeet		811	811	In Stock	hhc-2356878	the-natural-power-of-chitrali-pure-salajeet-hhc-2356878
The Noir Eastern Minimalist – Matte Black Octagonal Timepiece ( without box)		670	670	In Stock	hhc-3754851	the-noir-eastern-minimalist-matte-black-octagonal-timepiece-without-box-hhc-3754851
The Olay Soap | Best Quality Soap For Skin - Soap For Personal User - Soap With Fragrance		1498	1498	In Stock	hhc-2929602	the-olay-soap-best-quality-soap-for-skin-soap-for-personal-user-soap-wi-5ee10297-hhc-2929602
The Ordinary [DEAL] | Niacinamide Serum &amp; Soap | The Ordinary Niacinamide 10% + Zinc 1% Serum | The Ordinary Niacinamide Whitening Facial Soap		839	839	In Stock	hhc-3208351	the-ordinary-deal-niacinamide-serum-amp-soap-the-ordinary-niacinamide-1-e4c3a320-hhc-3208351
The Ordinary DEAL ( Pack of 2) 2 in 1 Ordinary Soap &amp; Cream Deal		1371	1371	In Stock	hhc-2434207	the-ordinary-deal-pack-of-2-2-in-1-ordinary-soap-amp-cream-deal-hhc-2434207
The Ordinary Face &amp; Hand Brightening Glow Kit | The Ordinary’s Brightening Set		1120	1120	In Stock	hhc-3077750	the-ordinary-face-amp-hand-brightening-glow-kit-the-ordinary-s-brightening-set-hhc-3077750
The Ordinary Face and Hand Brightening Glow Kit		1035	1035	In Stock	hhc-3765339	the-ordinary-face-and-hand-brightening-glow-kit-hhc-3765339
The ordinary face wash with Alpha arbutin in 100 ml / All skin types face wash Hydrating face wash		881	881	In Stock	hhc-3191056	the-ordinary-face-wash-with-alpha-arbutin-in-100-ml-all-skin-types-face-2d34abc9-hhc-3191056
The Ordinary Facewash Set 100ml		809	809	In Stock	hhc-2002635	the-ordinary-facewash-set-100ml-hhc-2002635
The Ordinary Glycolic Acid 7% Toning Solution Exfoliating Toner for Brighter & Smoother Skin		432	432	In Stock	hhc-3761878	the-ordinary-glycolic-acid-7-toning-solution-exfoliating-toner-for-brig-a8ef6076-hhc-3761878
The Ordinary Glycolic Acid 7% Toning Solution Light Weight Liquid Provides Sun Protection 240ml		1996	1996	In Stock	hhc-2594000	the-ordinary-glycolic-acid-7-toning-solution-light-weight-liquid-provid-277ec521-hhc-2594000
The Ordinary Glycolic Acid 7% Toning Solution | Exfoliating Brightening Face & Body Toner - 240ml		431	431	In Stock	hhc-3762909	the-ordinary-glycolic-acid-7-toning-solution-exfoliating-brightening-fa-f7679701-hhc-3762909
The Ordinary Glycolic Acid 7% Toning Solution – Exfoliating Face Toner for Radiant Skin, Removes Dead Skin Cells, Brightens &amp; Smoothens, 240ml		600	600	In Stock	hhc-3058969	the-ordinary-glycolic-acid-7-toning-solution-exfoliating-face-toner-for-6e222224-hhc-3058969
The Ordinary Hyaluronic Acid 2% + B5 Hydration Support Formula 30Ml Serum		361	361	In Stock	hhc-3756586	the-ordinary-hyaluronic-acid-2-b5-hydration-support-formula-30ml-serum-hhc-3756586
The Ordinary Hyaluronic Acid 2% + B5 Hydration Support Formula With Ultra Pure Vegan Hyaluronic Acid 30 Ml		305	305	In Stock	hhc-3755302	the-ordinary-hyaluronic-acid-2-b5-hydration-support-formula-with-ultra-0a868c24-hhc-3755302
The Ordinary NIACINAMIDE 10%  +ZINE 1%  100 ML Face Wash		881	881	In Stock	hhc-3191354	the-ordinary-niacinamide-10-zine-1-100-ml-face-wash-hhc-3191354
The Ordinary Niacinamide 10% + Zinc 1 % (30ML )		388	388	In Stock	hhc-2374237	the-ordinary-niacinamide-10-zinc-1-30ml-hhc-2374237
The Ordinary Niacinamide 10% + Zinc 1 % (30ML )		825	825	In Stock	hhc-1992341	the-ordinary-niacinamide-10-zinc-1-30ml-hhc-1992341
The Ordinary Niacinamide 10% + Zinc 1 % (30ML ) - with barcode &amp; Batch Code		305	305	In Stock	hhc-2288125	the-ordinary-niacinamide-10-zinc-1-30ml-with-barcode-amp-batch-code-hhc-2288125
The Ordinary Niacinamide 10% + Zinc 1 % (30ML ) - with barcode &amp; Batch Code		449	449	In Stock	hhc-1922307	the-ordinary-niacinamide-10-zinc-1-30ml-with-barcode-amp-batch-code-hhc-1922307
The Ordinary Niacinamide 10% + Zinc 1 % - 20 ml  |Oil Control, Pore Minimizing &amp; Blemish Solution Serum		306	306	In Stock	hhc-3193983	the-ordinary-niacinamide-10-zinc-1-20-ml-oil-control-pore-minimizing-am-6856457e-hhc-3193983
The Ordinary Niacinamide 10% + Zinc 1 % - 30ml		319	319	In Stock	hhc-3504942	the-ordinary-niacinamide-10-zinc-1-30ml-hhc-3504942
The Ordinary Niacinamide 10% + Zinc 1 % - 30ml |Oil Control, Pore Minimizing &amp; Blemish Solution Serum		376	376	In Stock	hhc-3548665	the-ordinary-niacinamide-10-zinc-1-30ml-oil-control-pore-minimizing-amp-e613abe8-hhc-3548665
The Ordinary Niacinamide 10% + Zinc 1 % - 30ml |Oil Control, Pore Minimizing &amp; Blemish Solution Serum|		389	389	In Stock	hhc-3152114	the-ordinary-niacinamide-10-zinc-1-30ml-oil-control-pore-minimizing-amp-e613abe8-hhc-3152114
The Ordinary Niacinamide 10% + Zinc 1% , 30ml | Best Quality Niacinamide Serum | Serum For Skin - Niacinamide Serum		348	348	In Stock	hhc-2919869	the-ordinary-niacinamide-10-zinc-1-30ml-best-quality-niacinamide-serum-b1cc0cf8-hhc-2919869
The Ordinary Niacinamide 10% + Zinc 1% Serum – 30ml High-Strength Vitamin &amp; Mineral Blemish Formula for Oil Control, Skin Brightening, and Clear, Radiant Complexion		348	348	In Stock	hhc-3078779	the-ordinary-niacinamide-10-zinc-1-serum-30ml-high-strength-vitamin-amp-31402bda-hhc-3078779
The Ordinary Niacinamide 10% + Zinc 1% Whitening Facial Soap		510	510	In Stock	hhc-1969836	the-ordinary-niacinamide-10-zinc-1-whitening-facial-soap-hhc-1969836
The Ordinary Niacinamide Serum 10% + Zinc 1% Supersize Serum 30ML | Best Quality Serum 30ML		361	361	In Stock	hhc-2783188	the-ordinary-niacinamide-serum-10-zinc-1-supersize-serum-30ml-best-qual-83023867-hhc-2783188
The Ordinary Niacinamide Serum 10% + Zinc 1% Supersize Serum [Buy 1 Get 1 Free] | Best Quality Serum 30ML		787	787	In Stock	hhc-3208205	the-ordinary-niacinamide-serum-10-zinc-1-supersize-serum-buy-1-get-1-fr-fd3f3ebd-hhc-3208205
The Perseids Remote Control Bulldozer – 1/16 Scale 11 Channel Heavy RC Construction Toy with Lights & Sound, Yellow		5675	5675	In Stock	hhc-3754358	the-perseids-remote-control-bulldozer-1-16-scale-11-channel-heavy-rc-co-eaa89ed9-hhc-3754358
The Royal Caucasian Medallion Prayer Mat 70x115cm | Elegant Islamic Prayer Rug for Daily Salah		2067	2067	In Stock	hhc-3764548	the-royal-caucasian-medallion-prayer-mat-70x115cm-elegant-islamic-praye-11f3c100-hhc-3764548
The Sign (@)3D Wooden wall clock for Living Room, Bed Room Home Decor Art &amp; Hanging Decorative Showpiece Items		544	544	In Stock	hhc-2575159	the-sign-3d-wooden-wall-clock-for-living-room-bed-room-home-decor-art-a-5fd5a128-hhc-2575159
The Signature Hand-Stitched Slim Leather Bifold Wallet Designed for Maximum Durability and Minimalist Everyday Carry Utility		1162	1162	In Stock	hhc-3754707	the-signature-hand-stitched-slim-leather-bifold-wallet-designed-for-max-bd1c8738-hhc-3754707
The Steam Facial Steamer, for women.		1232	1232	In Stock	hhc-2357311	the-steam-facial-steamer-for-women-hhc-2357311
The Velvet Honeycomb Quilted Janamaz prayermat 75x120 cm Design		1090	1090	In Stock	hhc-3765204	the-velvet-honeycomb-quilted-janamaz-prayermat-75x120-cm-design-hhc-3765204
Three Guys Anti-Rust Lubricant Spray – Penetrating Oil Rust Remover And Multi-Purpose De-Rust Spray German Engineered		319	319	In Stock	hhc-3756944	three-guys-anti-rust-lubricant-spray-penetrating-oil-rust-remover-and-m-7eb3776e-hhc-3756944
THREE GUYS Anti-Rust Spray | Rust Remover & Corrosion Protector | Premium German Engineered Formula (250ml)		1091	1091	In Stock	hhc-3756938	three-guys-anti-rust-spray-rust-remover-corrosion-protector-premium-ger-288504bb-hhc-3756938
THREE GUYS Antifreeze Coolant Blue – Premium Grade HOAT Coolant | Long-Life Radiator Fluid | Engine Overheat & Freeze Protection | Ready-to-Use Formula (1000) ML		811	811	In Stock	hhc-3756968	three-guys-antifreeze-coolant-blue-premium-grade-hoat-coolant-long-life-1bfb0685-hhc-3756968
THREE GUYS Antifreeze Coolant Green – Long Life Ready-to-Use Coolant | IAT Formula | Radiator Coolant for Car, SUV & Bike Engines | Rust & Freeze Protection | 1L		811	811	In Stock	hhc-3756970	three-guys-antifreeze-coolant-green-long-life-ready-to-use-coolant-iat-9399dbfd-hhc-3756970
THREE GUYS Antifreeze Coolant Red – Long Life OAT Radiator Coolant | Ready-to-Use Engine Coolant | Rust & Overheat Protection for Modern Cars & SUVs (1000) ML		811	811	In Stock	hhc-3756969	three-guys-antifreeze-coolant-red-long-life-oat-radiator-coolant-ready-0d6e79f4-hhc-3756969
Three Guys Bathroom Cleaner 250ml Powerful Germ Killing Soap Scum Remover With Streak Free Shine		740	740	In Stock	hhc-3756988	three-guys-bathroom-cleaner-250ml-powerful-germ-killing-soap-scum-remov-a8d3fe8f-hhc-3756988
Three Guys Carburetor And Choke Cleaner  Engine Cleaner Spray High-Performance Fuel System Degreaser German Engineered		389	389	In Stock	hhc-3756949	three-guys-carburetor-and-choke-cleaner-engine-cleaner-spray-high-perfo-7ea6e021-hhc-3756949
THREE GUYS Citrus Wash & Gloss Car Shampoo – High Foam Snow Foam Car Wash for Deep Cleaning & Shine		699	699	In Stock	hhc-3756909	three-guys-citrus-wash-gloss-car-shampoo-high-foam-snow-foam-car-wash-f-c0c6fd10-hhc-3756909
THREE GUYS Dashboard, Leather & Tyre Wax (450ml) | Ocean Vibes Fragrance | German Formula with UV & Dust Protection		912	912	In Stock	hhc-3756915	three-guys-dashboard-leather-tyre-wax-450ml-ocean-vibes-fragrance-germa-cc74829d-hhc-3756915
THREE GUYS Electronic Contact Cleaner Spray 450ml – Fast Drying Formula for Switches, Circuit Boards, Sensors & Electronics | German Engineered		670	670	In Stock	hhc-3756939	three-guys-electronic-contact-cleaner-spray-450ml-fast-drying-formula-f-84b74e58-hhc-3756939
